Category: Computers & Electronics

Day,Snowflake: (United States),PostgreSQL: (United States),BigQuery: (United States),DuckDB: (United States),MySQL: (United States)
2023-08-17,17,87,8,0,74
2023-08-18,14,84,4,0,70
2023-08-19,4,28,1,0,28
2023-08-20,3,26,1,1,26
2023-08-21,15,85,7,0,71
2023-08-22,21,85,11,2,72
2023-08-23,25,94,10,0,73
2023-08-24,21,100,7,1,67
2023-08-25,14,76,11,0,63
2023-08-26,2,30,2,0,26
2023-08-27,2,27,1,0,20
2023-08-28,22,73,7,1,62
2023-08-29,19,89,8,0,68
2023-08-30,19,93,10,0,68
2023-08-31,15,93,10,0,69
2023-09-01,11,71,6,0,55
2023-09-02,3,23,0,0,33
2023-09-03,4,32,1,1,34
2023-09-04,3,32,2,3,40
2023-09-05,14,81,14,0,64
2023-09-06,18,86,9,1,63
2023-09-07,20,88,7,0,61
2023-09-08,13,80,10,0,53
2023-09-09,6,36,3,0,33
2023-09-10,2,22,2,1,29
2023-09-11,22,81,9,1,60
2023-09-12,15,92,8,1,64
2023-09-13,10,87,9,0,66
2023-09-14,17,89,8,1,70
2023-09-15,17,78,9,0,61
2023-09-16,3,27,5,0,26
2023-09-17,3,24,1,0,30
2023-09-18,12,86,12,0,68
2023-09-19,18,89,11,0,72
2023-09-20,21,92,10,0,68
2023-09-21,19,89,11,0,72
2023-09-22,14,75,5,0,54
2023-09-23,0,28,2,0,34
2023-09-24,3,22,2,0,30
2023-09-25,16,77,4,1,61
2023-09-26,19,96,8,1,66
2023-09-27,18,95,8,1,69
2023-09-28,17,79,11,2,61
2023-09-29,20,74,9,0,61
2023-09-30,3,27,3,0,28
2023-10-01,4,21,3,0,24
2023-10-02,17,81,10,0,55
2023-10-03,18,88,10,0,63
2023-10-04,20,91,12,1,62
2023-10-05,16,94,8,0,69
2023-10-06,13,82,9,0,59
2023-10-07,4,31,2,0,30
2023-10-08,3,23,2,0,28
2023-10-09,16,69,8,0,59
2023-10-10,20,81,9,0,73
2023-10-11,19,88,9,1,69
2023-10-12,17,79,11,3,66
2023-10-13,14,77,8,1,63
2023-10-14,3,32,3,0,31
2023-10-15,3,29,2,0,32
2023-10-16,20,86,9,0,64
2023-10-17,17,84,9,0,74
2023-10-18,18,85,10,0,62
2023-10-19,15,86,8,1,71
2023-10-20,12,69,11,1,58
2023-10-21,4,41,4,1,35
2023-10-22,2,19,3,2,25
2023-10-23,15,79,5,0,72
2023-10-24,20,82,11,1,72
2023-10-25,18,90,4,0,76
2023-10-26,16,86,10,0,67
2023-10-27,16,74,9,0,59
2023-10-28,2,23,1,0,34
2023-10-29,5,26,2,0,23
2023-10-30,15,83,8,0,59
2023-10-31,22,93,11,2,79
2023-11-01,20,89,12,2,73
2023-11-02,22,90,10,1,68
2023-11-03,18,81,9,1,59
2023-11-04,2,34,2,1,33
2023-11-05,1,27,1,0,35
2023-11-06,12,77,8,0,72
2023-11-07,16,84,7,1,73
2023-11-08,17,85,8,0,66
2023-11-09,15,85,7,2,66
2023-11-10,13,69,7,1,52
2023-11-11,5,30,1,0,30
2023-11-12,3,25,2,2,28
2023-11-13,16,76,7,0,61
